file,title,old_domains,old_primary,old_secondary,new_primary,new_secondary,override_reason,cross_tags
100font-com.md,"""100font.com - 免费商用字体""","设计, 字体素材",设计,字体素材,设计,设计素材,,
100t-xiaomimimo-com.md,"""Xiaomi MiMo 100T""","AI, LLM",AI,LLM,AI,LLM,,
127-0-0-1-18789.md,"""OpenClaw Control""","AI, 学习资源",AI,学习资源,AI,学习资源,,
127-0-0-1-7860.md,"""Stable Diffusion""","AI, 图像生成",AI,图像生成,AI,图像生成,,
1688-com.md,"""1688""","电商, 国内电商",电商,国内电商,电商,国内电商,,
192-168-1-2-3002.md,"""Karakeep""","工具, 知识管理",工具,知识管理,开发工具,知识管理,,
1stdibs-com.md,"""1stDibs""","家具, 设计, 室内设计",设计|室内设计,家具,设计,家具与材料,,
21st.md,"""21st""","前端, UI组件",前端,UI组件,开发工具,UI/UX,,
36kr-com.md,"""36氪 AI频道""","AI, 媒体, 资讯",AI|媒体,资讯,AI,资讯,,内容平台
3d66-com.md,"""3D溜溜网(3d66.com) - 全网设计素材首选平台""","设计, 3D素材",设计,3D素材,设计,设计素材,,
@jackweneropencli---npm.md,"""OpenCLI""","开发, 包管理",开发,包管理,开发工具,API,,
absolutelyskilled-pro.md,"""AbsolutelySkilled""","AI, Agent, 工具",AI|工具,Agent,AI,Agent,,开发工具
ac-archcreation-wechat.md,"""AC建筑创作 (微信公众号)""","建筑, 设计",建筑|设计,,设计,未细分,,
access-key-management---wavespeedai.md,"""Access Key Management - WaveSpeedAI""","AI, 开发平台",AI,开发平台,AI,开发平台,,
accoladeip-com.md,"""Trademark Fee – Accolade IP HK""","工具, 版权识别",工具,版权识别,商业,IP版权,归属商业:版权识别,开发工具
ace-step-ui---local-ai-music-generator.md,"""ACE-Step UI - Local AI Music Generator""","工具, AI工具",工具,AI工具,开发工具,代码助手,,
adobe-com.md,"""Adobe""","工具, 设计工具",工具,设计工具,开发工具,设计工具,,
adsense-google-com.md,"""Google AdSense""","媒体, 广告平台",媒体,广告平台,商业,广告,商业变现工具:广告平台,内容平台
afdian-com.md,"""爱发电（秋叶）""","产品, 创作者变现",产品,创作者变现,商业,变现,,
agent-pollyreach-ai.md,"""PollyReach""","AI, Agent",AI,Agent,AI,Agent,,
agent002-com.md,"""accueil - Agent 002""","设计, 设计灵感",设计,设计灵感,设计,设计灵感,,
agentpekka-com.md,"""Agent Pekka""","设计, 家居生活",设计|家居生活,,设计,未细分,,
aiagentstore-ai.md,"""每日人工智能代理新闻 - 过去7天""","AI, Agent",AI,Agent,AI,Agent,,
aider-chat.md,"""Aider""","AI, 代码",AI,代码,AI,代码托管,,
aigcreative-feishu-cn.md,"""AI自媒体成长专区""","AI, 学习资源",AI,学习资源,AI,学习资源,,
